Date,Trigger_Time,Timestamp,Symbol,Direction,Entry_Price,Exit_Price,SL_Price,Target1_Price,Target2_Price,Shares,Outcome,PnL_Rs,Return_Pct,Capital_After
2024-01-16,09:15 AM,2024-01-16 09:15,BLS,LONG,396.08,388.16,388.16,407.96,415.88,169,HIT_SL,-1338.75,-0.009961,133059.88
2024-01-16,09:15 AM,2024-01-16 09:15,BLUESTARCO,LONG,1050.38,1081.89,1029.37,1081.89,1102.9,63,HIT_T1,1985.22,0.01492,135045.1
2024-01-17,09:15 AM,2024-01-17 09:15,AMBER,LONG,3789.0,3713.22,3713.22,3902.67,3978.45,17,HIT_SL,-1288.26,-0.009539,133756.84
2024-01-17,09:15 AM,2024-01-17 09:15,BANKINDIA,LONG,120.05,123.66,117.65,123.66,126.06,557,HIT_T1,2006.12,0.014998,135762.96
2024-01-17,09:15 AM,2024-01-17 09:15,MAHABANK,LONG,45.85,47.22,44.93,47.22,48.14,1480,HIT_T1,2035.58,0.014994,137798.54
2024-01-18,09:15 AM,2024-01-18 09:15,BANKINDIA,LONG,120.6,118.19,118.19,124.22,126.63,571,HIT_SL,-1377.29,-0.009995,136421.25
2024-01-18,09:15 AM,2024-01-18 09:15,MAHABANK,LONG,46.03,48.33,45.11,47.41,48.33,1481,HIT_T2,3408.56,0.024986,139829.81
2024-01-18,09:15 AM,2024-01-18 09:15,BLUESTARCO,LONG,1045.45,1024.54,1024.54,1076.81,1097.72,66,HIT_SL,-1379.99,-0.009869,138449.81
2024-01-19,09:15 AM,2024-01-19 09:15,MAHABANK,LONG,48.24,47.28,47.28,49.69,50.65,1435,HIT_SL,-1384.49,-0.01,137065.33
2024-01-19,09:15 AM,2024-01-19 09:15,BANKINDIA,LONG,123.76,123.53,121.28,127.47,129.94,553,EXPIRED_SAME_DAY,-126.31,-0.000922,136939.01
2024-01-19,09:15 AM,2024-01-19 09:15,AMBER,LONG,3880.05,3802.45,3802.45,3996.45,4074.05,17,HIT_SL,-1319.22,-0.009634,135619.8
2024-01-23,09:15 AM,2024-01-23 09:15,BHEL,LONG,220.14,215.74,215.74,226.74,231.15,308,HIT_SL,-1356.06,-0.009999,134263.74
2024-01-23,09:15 AM,2024-01-23 09:15,AARTIIND,LONG,673.23,659.76,659.76,693.42,706.89,99,HIT_SL,-1332.99,-0.009928,132930.75
2024-01-23,09:15 AM,2024-01-23 09:15,ASTERDM,LONG,330.04,323.44,323.44,339.94,346.55,201,HIT_SL,-1326.77,-0.009981,131603.97
2024-01-24,09:15 AM,2024-01-24 09:15,APOLLOTYRE,LONG,495.69,507.82,485.78,510.57,520.48,132,EXPIRED_SAME_DAY,1600.09,0.012158,133204.06
2024-01-24,09:15 AM,2024-01-24 09:15,ASTERDM,LONG,324.76,324.98,318.26,334.5,340.99,205,EXPIRED_SAME_DAY,46.45,0.000349,133250.51
2024-01-24,09:15 AM,2024-01-24 09:15,AEGISLOG,LONG,377.03,376.06,369.49,388.34,395.88,176,EXPIRED_SAME_DAY,-171.6,-0.001288,133078.91
2024-01-25,09:15 AM,2024-01-25 09:15,ANANDRATHI,LONG,736.04,758.12,721.32,758.12,772.84,90,HIT_T1,1987.31,0.014933,135066.22
2024-01-25,09:15 AM,2024-01-25 09:15,APOLLOTYRE,LONG,510.09,499.88,499.88,525.39,535.59,132,HIT_SL,-1346.63,-0.00997,133719.59
2024-01-25,09:15 AM,2024-01-25 09:15,BHARTIARTL,LONG,1155.11,1132.01,1132.01,1189.77,1212.87,57,HIT_SL,-1316.83,-0.009848,132402.77
2024-01-29,09:15 AM,2024-01-29 09:15,ANANDRATHI,LONG,765.81,750.49,750.49,788.78,804.1,86,HIT_SL,-1317.19,-0.009948,131085.58
2024-01-29,09:15 AM,2024-01-29 09:15,AMBER,LONG,4193.9,4403.59,4110.02,4319.72,4403.59,15,HIT_T2,3145.42,0.023995,134231.0
2024-01-29,09:15 AM,2024-01-29 09:15,APOLLOTYRE,LONG,500.33,509.27,490.32,515.34,525.35,134,EXPIRED_SAME_DAY,1197.22,0.008919,135428.22
2024-01-30,09:15 AM,2024-01-30 09:15,AMBER,LONG,4400.0,4312.0,4312.0,4532.0,4620.0,15,HIT_SL,-1320.0,-0.009747,134108.22
2024-01-30,09:15 AM,2024-01-30 09:15,ANANDRATHI,LONG,741.11,746.24,726.28,763.34,778.16,90,EXPIRED_SAME_DAY,462.45,0.003448,134570.67
2024-01-30,09:15 AM,2024-01-30 09:15,AIAENG,LONG,4000.03,3920.03,3920.03,4120.03,4200.03,16,HIT_SL,-1280.01,-0.009512,133290.66
2024-01-31,09:15 AM,2024-01-31 09:15,AMBER,LONG,4414.6,4547.04,4326.31,4547.04,4635.33,15,HIT_T1,1986.57,0.014904,135277.23
2024-01-31,09:15 AM,2024-01-31 09:15,APARINDS,LONG,5996.18,6295.99,5876.25,6176.06,6295.99,11,HIT_T2,3297.9,0.024379,138575.13
2024-01-31,09:15 AM,2024-01-31 09:15,ACC,LONG,2482.4,2512.32,2432.76,2556.88,2606.52,27,EXPIRED_SAME_DAY,807.82,0.005829,139382.95
2024-02-01,09:15 AM,2024-02-01 09:15,AMBER,LONG,4390.05,4521.75,4302.25,4521.75,4609.55,15,HIT_T1,1975.52,0.014173,141358.47
2024-02-01,09:15 AM,2024-02-01 09:15,APARINDS,LONG,6274.06,6148.58,6148.58,6462.29,6587.77,11,HIT_SL,-1380.29,-0.009764,139978.18
2024-02-01,09:15 AM,2024-02-01 09:15,BEML,LONG,1741.54,1828.61,1706.71,1793.78,1828.61,40,HIT_T2,3483.07,0.024883,143461.25
2024-02-02,09:15 AM,2024-02-02 09:15,BEML,LONG,1903.26,1998.42,1865.2,1960.36,1998.42,37,HIT_T2,3521.03,0.024543,146982.28
2024-02-02,09:15 AM,2024-02-02 09:15,AMBER,LONG,4535.0,4444.3,4444.3,4671.05,4761.75,16,HIT_SL,-1451.2,-0.009873,145531.08
2024-02-02,09:15 AM,2024-02-02 09:15,BSE,LONG,827.28,810.74,810.74,852.1,868.65,87,HIT_SL,-1439.47,-0.009891,144091.61
2024-02-05,09:15 AM,2024-02-05 09:15,BEML,LONG,1898.83,1860.85,1860.85,1955.79,1993.77,37,HIT_SL,-1405.13,-0.009752,142686.48
2024-02-05,09:15 AM,2024-02-05 09:15,BPCL,LONG,252.39,259.97,247.35,259.97,265.01,282,HIT_T1,2135.26,0.014965,144821.73
2024-02-05,09:15 AM,2024-02-05 09:15,BSE,LONG,817.4,841.92,801.05,841.92,858.27,88,HIT_T1,2157.93,0.014901,146979.66
2024-02-06,09:15 AM,2024-02-06 09:15,BSE,LONG,843.43,826.57,826.57,868.74,885.61,87,HIT_SL,-1467.58,-0.009985,145512.08
2024-02-06,09:15 AM,2024-02-06 09:15,BEML,LONG,1842.93,1806.07,1806.07,1898.22,1935.08,39,HIT_SL,-1437.49,-0.009879,144074.6
2024-02-06,09:15 AM,2024-02-06 09:15,BPCL,LONG,258.62,271.55,253.44,266.37,271.55,278,HIT_T2,3594.75,0.024951,147669.35
2024-02-07,09:15 AM,2024-02-07 09:15,BPCL,LONG,275.05,269.55,269.55,283.3,288.8,268,HIT_SL,-1474.26,-0.009983,146195.09
2024-02-07,09:15 AM,2024-02-07 09:15,MAHABANK,LONG,57.4,60.27,56.25,59.12,60.27,1273,HIT_T2,3653.51,0.024991,149848.61
2024-02-07,09:15 AM,2024-02-07 09:15,BIOCON,LONG,302.81,296.76,296.76,311.9,317.95,247,HIT_SL,-1495.89,-0.009983,148352.72
2024-02-08,09:15 AM,2024-02-08 09:15,MAHABANK,LONG,63.34,62.07,62.07,65.24,66.5,1171,HIT_SL,-1483.38,-0.009999,146869.34
2024-02-08,09:15 AM,2024-02-08 09:15,BPCL,LONG,271.12,279.26,265.7,279.26,284.68,270,HIT_T1,2196.1,0.014953,149065.44
