Date,Entry_Time,Exit_Time,Symbol,Direction,Entry_Price,Exit_Price,SL_Price,Target1_Price,Target2_Price,Shares,Outcome,PnL_Rs,Return_Pct,Capital_After
2026-07-15,09:15 AM,09:20 AM,ATHERENERG,LONG,1232.1,1256.74,1222.24,1246.89,1256.74,181,HIT_T2,4460.2,0.024873,183779.44
2026-07-15,09:15 AM,09:20 AM,AEGISLOG,LONG,1235.5,1260.21,1225.62,1250.33,1260.21,185,HIT_T2,4571.35,0.024874,188350.79
2026-07-15,09:15 AM,09:20 AM,BANDHANBNK,LONG,208.51,212.68,206.84,211.01,212.68,1129,HIT_T2,4708.16,0.024997,193058.95
2026-07-16,09:15 AM,09:20 AM,CPPLUS,LONG,3749.3,3824.29,3719.31,3794.29,3824.29,64,HIT_T2,4799.1,0.024858,197858.05
2026-07-16,09:15 AM,09:35 AM,BPCL,LONG,311.5,315.24,309.01,315.24,317.73,793,HIT_T1,2964.23,0.014982,200822.28
2026-07-16,09:15 AM,09:20 AM,3MINDIA,LONG,35940.0,36371.28,35652.48,36371.28,36658.8,6,HIT_T1,2587.68,0.012885,203409.96
2026-07-17,09:15 AM,09:35 AM,AFCONS,LONG,285.0,290.7,282.72,288.42,290.7,892,HIT_T2,5084.4,0.024996,208494.36
2026-07-17,09:15 AM,09:20 AM,AEGISLOG,LONG,1309.8,1309.8,1299.32,1325.52,1336.0,198,HIT_BE,0.0,0.0,208494.36
2026-07-17,09:15 AM,09:30 AM,ADANIENSOL,LONG,1702.8,1736.86,1689.18,1723.23,1736.86,153,HIT_T2,5210.57,0.024991,213704.93
2026-07-20,09:15 AM,09:20 AM,AEGISLOG,LONG,1344.0,1370.88,1333.25,1360.13,1370.88,198,HIT_T2,5322.24,0.024905,219027.17
2026-07-20,09:15 AM,09:25 AM,ANANDRATHI,LONG,2060.0,2084.72,2043.52,2084.72,2101.2,132,HIT_T1,3263.04,0.014898,222290.21
2026-07-20,09:15 AM,09:20 AM,ANTHEM,LONG,777.15,786.48,770.93,786.48,792.69,357,HIT_T1,3329.31,0.014977,225619.52
2026-07-21,09:15 AM,09:20 AM,ACE,LONG,1010.0,1030.2,1001.92,1022.12,1030.2,279,HIT_T2,5635.8,0.024979,231255.32
2026-07-21,09:15 AM,09:20 AM,AWL,LONG,189.05,191.32,187.54,191.32,192.83,1529,HIT_T1,3468.69,0.014999,234724.01
2026-07-21,09:15 AM,09:20 AM,BERGEPAINT,LONG,492.0,497.9,488.06,497.9,501.84,596,HIT_T1,3518.78,0.014991,238242.8
2026-07-22,09:15 AM,09:20 AM,AIIL,LONG,563.9,563.9,559.39,570.67,575.18,528,HIT_BE,0.0,0.0,238242.8
2026-07-22,09:15 AM,09:20 AM,BAJAJ-AUTO,LONG,10615.0,10827.3,10530.08,10742.38,10827.3,28,HIT_T2,5944.4,0.024951,244187.2
2026-07-22,09:15 AM,09:20 AM,ANTHEM,LONG,742.2,757.04,736.26,751.11,757.04,411,HIT_T2,6100.88,0.024984,250288.08
